query,n_positives,rank_first_positive,missed,hit@1,hit@5,hit@10,hit@100,rr,n_chars,n_words,n_unique_words,n_colors,n_materials,n_garments,n_patterns,has_color,has_material,has_garment,has_pattern,n_sentences
t-shirt.,1,,1,0,0,0,0,0.0,8,2,2,0,0,1,0,0,0,1,0,1
"pair of leopard print pants. the pants are yellow and black in color and have a loose fit. the leopard print is a mix of yellow, black, and white colors.",1,1,0,1,1,1,1,1.0,153,30,20,3,0,1,0,1,0,1,0,3
"black leather jacket with a silver zipper. the jacket has a collar, a pocket on the left chest, and a pocket on the right chest. the jacket also has a belt with a silver buckle.",1,,1,0,0,0,0,0.0,177,35,19,2,1,2,0,1,1,1,0,3
blue and black dress with a ribbed texture. the dress has a v-neckline and long sleeves. the dress is knee-length and has a ribbed texture.,1,6,0,0,0,1,1,0.16666666666666666,139,27,17,2,0,1,1,1,0,1,1,3
black and white floral print dress with a halter neckline and a maxi length. the dress has a backless design and a flowy skirt. the floral print consists of white and pink flowers on a black background.,1,7,0,0,0,1,1,0.14285714285714285,202,37,24,3,0,2,1,1,0,1,1,3
"a woman wearing a long, beige, flowing skirt with a floral pattern.",1,,1,0,0,0,0,0.0,67,12,10,1,0,1,1,1,0,1,1,1
pair of blue wide-leg pants. the pants have a cropped length and are made of a lightweight material. the pants feature a front pleat and a wide leg. the pants are styled with a relaxed fit and are worn with a white shirt.,1,3,0,0,1,1,1,0.3333333333333333,221,44,26,2,0,2,0,1,0,1,0,4
red and black skirt. the skirt is made of a shiny material and has a metallic finish. it is a mini skirt with a high waist and a flared design. the skirt is red in color and has a black pattern on it.,1,2,0,0,1,1,1,0.5,200,43,25,2,0,1,1,1,0,1,1,4
black and white dress with a pattern of black and white spirals on it. the dress has a halter neckline and a flowing skirt.,1,2,0,0,1,1,1,0.5,123,24,17,2,0,2,0,1,0,1,0,2
"blue and brown floral print top with a high round neckline and long sleeves. the fabric is a mix of chiffon and silk, and the style is bohemian.",1,1,0,1,1,1,1,1.0,144,28,22,2,2,1,1,1,1,1,1,2
pair of black velvet pants with a white stripe down the side. the pants have a loose fit and are cuffed at the ankle.,1,2,0,0,1,1,1,0.5,117,24,20,2,1,1,1,1,1,1,1,2
black vest with a white shirt underneath. the vest has a silver buckle and a black belt. the vest is worn over a black coat and a white shirt.,1,1,0,1,1,1,1,1.0,142,29,17,3,0,4,0,1,0,1,0,3
pair of gray leggings. the leggings are made of a stretchy material and have a wide waistband. they are a dark gray color and have a matte finish.,1,7,0,0,0,1,1,0.14285714285714285,146,28,19,1,0,0,0,1,0,0,0,3
black vest with a gray collar. the vest is made of a soft material and has a long length. it is worn over a black shirt and has a long length. the vest is a part of a woman's outfit and is stylish.,1,,1,0,0,0,0,0.0,197,44,25,2,0,2,0,1,0,1,0,4
dress. the dress is black and white with a floral print. it is a plus size dress and has a halter neckline. the dress is long and has a flowy skirt.,1,,1,0,0,0,0,0.0,148,31,19,2,0,2,1,1,0,1,1,4
brown vest with a front pocket. the vest has a buckle and a button on the front. the vest is made of a material that looks like leather and has a brown color. the vest is worn by a mannequin and is displayed in a store window.,1,2,0,0,1,1,1,0.5,226,47,28,1,1,1,0,1,1,1,0,4
"striped tank top. the stripes are black and white, and the tank top is made of a lightweight material. the tank top has a loose fit and features a black and white color scheme.",1,4,0,0,1,1,1,0.25,176,34,21,2,0,1,1,1,0,1,1,3
"black short sleeve top with a loose fit and a rounded neckline. the top is made of a soft, stretchy material and features a small, black, flowy design on the front.",1,,1,0,0,0,0,0.0,164,31,24,1,0,1,0,1,0,1,0,2
"white sleeveless blouse with a v-neck and ruffles on the neckline. the blouse is made of a lightweight material, possibly chiffon or a similar fabric. the blouse has a relaxed fit and is designed to be worn casually.",1,3,0,0,1,1,1,0.3333333333333333,216,39,30,1,1,1,0,1,1,1,0,3
"turquoise top with a twist front design. the material is a stretchy knit, and the top has a rounded neckline. the twist front design creates a ruched effect, and the top is a light turquoise color.",1,1,0,1,1,1,1,1.0,197,36,21,1,1,1,0,1,1,1,0,3
black long sleeve dress with a belt at the waist. the dress has a high neckline and a long skirt. the dress is made of a material that appears to be a wool blend. the dress is a formal style and is worn with black tights and black pumps.,1,2,0,0,1,1,1,0.5,237,49,30,1,1,3,0,1,1,1,0,4
"beige vest with a plaid lining. the vest is made of a soft, fuzzy material and has a shawl collar. it is worn over a white shirt and a brown and black plaid shirt. the vest has a front button and a pocket on the left side.",1,1,0,1,1,1,1,1.0,222,47,30,4,0,2,1,1,0,1,1,4
white lace dress with a crocheted bodice and a lace skirt. the dress has short sleeves and a v-neckline. the dress is knee-length and has a fitted silhouette.,1,6,0,0,0,1,1,0.16666666666666666,158,30,20,1,1,2,1,1,1,1,1,3
woman wearing a lacy dress. the dress is made of a light gray and white lace material. the dress has a silver zipper on the back and a silver button on the front. the dress is short and has a floral design on the skirt. the woman is wearing a silver necklace and a silver bracelet. the woman is also wearing a pair of black high heels.,1,,1,0,0,0,0,0.0,335,67,33,4,1,3,2,1,1,1,1,6
"floral print dress with a satin fabric. the dress has a v-neckline, a fitted bodice, and a flared skirt. the floral print consists of pink, yellow, and green flowers. the dress is a knee-length and has a zipper closure on the back.",1,2,0,0,1,1,1,0.5,231,44,29,3,1,2,1,1,1,1,1,4
"red floral print blouse with a high collar and long sleeves. the blouse has a loose fit and is made of a lightweight material. the floral pattern consists of paisley designs in shades of red, green, and yellow. the blouse is styled with a front button placket and a loose fit that drapes over the body.",1,2,0,0,1,1,1,0.5,302,56,36,3,0,1,2,1,0,1,1,4
pair of black capri pants. the pants are made of a stretchy material and have a straight cut. the pants are not tight and have a relaxed fit.,2,4,0,0,1,1,1,0.25,141,28,19,1,0,1,0,1,0,1,0,3
white sleeveless shirt with a collar. the shirt has a pointed collar and a button on the top.,1,1,0,1,1,1,1,1.0,93,18,13,1,0,2,0,1,0,1,0,2
pair of pants. the pants are blue in color and have a skinny fit. they are made of a stretchy material and have a zipper closure. the pants are cuffed at the bottom and have a small slit on the side.,1,5,0,0,1,1,1,0.2,199,41,26,1,0,1,0,1,0,1,0,4
red polo shirt with a white collar and a small logo on the front. the shirt is made of a soft cotton material and has a classic fit.,1,2,0,0,1,1,1,0.5,132,28,22,2,1,1,0,1,1,1,0,2
"light blue, strapless, ruched bikini top. the material appears to be a stretchy, lightweight fabric, possibly nylon or polyester. the bikini top has a scoop neckline and a ruched design that runs down the center of the top. the bikini top is designed to be worn as a bandeau style top, with no support or cups.",1,2,0,0,1,1,1,0.5,310,56,39,1,2,2,0,1,1,1,0,4
"blue and white floral print skirt. the skirt is made of a lightweight material and has a flowy, feminine style. the blue and white floral print is delicate and features a mix of small and larger flowers. the skirt has a tiered design, with a darker blue band at the bottom and a lighter blue band at the top. the skirt is worn at the waist and has a flirty, playful vibe.",1,5,0,0,1,1,1,0.2,371,72,37,2,0,2,1,1,0,1,1,5
plaid shirt with a button-down collar. the shirt has a blue and white checkered pattern and is made of a soft material. the shirt is worn by a woman who is wearing a black belt with a silver buckle. the woman is also wearing a pair of blue jeans.,1,,1,0,0,0,0,0.0,246,50,31,4,0,3,2,1,0,1,1,4
"black and white dress with a checkered pattern. the dress has a v-neckline and a short sleeve. the material appears to be a stretchy knit, and the dress is a size medium.",1,,1,0,0,0,0,0.0,170,33,23,2,1,1,1,1,1,1,1,3
"brown top with a v-neck and short sleeves. the top is made of a soft, flowing material and has a loose fit.",1,2,0,0,1,1,1,0.5,107,23,19,1,0,1,0,1,0,1,0,2
"beige ruffled blouse with a sheer neckline and long sleeves. the blouse has a ruffled collar and a tie at the neck. the sleeves are long and have a ruffled cuff. the blouse is made of a lightweight material and has a flowy, feminine style.",1,2,0,0,1,1,1,0.5,239,45,27,1,0,1,2,1,0,1,1,4
black and white blouse with a high collar and long sleeves. the blouse has a button-down front and is made of a lightweight fabric. the collar is folded over and has a ruffled edge. the sleeves are long and have a loose fit. the blouse is styled with a loose fit and is not tucked in.,1,,1,0,0,0,0,0.0,284,57,32,2,0,1,1,1,0,1,1,5
brown leather jacket with a sheepskin collar. the jacket has a zipper closure and a silver zipper pull. the jacket is worn by a woman with long brown hair.,2,1,0,1,1,1,1,1.0,155,29,20,2,1,1,0,1,1,1,0,3
pair of red pants. the pants are made of a stretchy material and have a skinny fit. they are a dark red color and have a zipper closure.,1,4,0,0,1,1,1,0.25,136,28,19,1,0,1,0,1,0,1,0,3
"white silk blouse with a high collar and long sleeves. the blouse has a loose fit and is made of a silky material. the back of the blouse has a buttoned placket, and the front features a pointed collar. the sleeves are long and have a cuffed hem. the blouse is styled in a casual, relaxed manner.",1,4,0,0,1,1,1,0.25,296,57,34,1,1,1,0,1,1,1,0,5
beige skirt with a zipper closure and a leather belt. the skirt is short and has a high waist.,1,4,0,0,1,1,1,0.25,94,19,15,1,1,2,0,1,1,1,0,2
"a black lace top with a loose fit and a v-neckline. the material is a soft, flowy fabric with a sheer lace overlay. the sleeves are long and loose, and the blouse has a relaxed fit.",1,3,0,0,1,1,1,0.3333333333333333,181,37,24,1,1,2,2,1,1,1,1,3
"flowing, colorful, and patterned skirt. the skirt is made of a lightweight material and has a floral print. it is a maxi skirt that falls to the knee and has a flowing, loose fit. the skirt is worn by a woman who is standing in front of a white background.",1,,1,0,0,0,0,0.0,256,50,32,1,0,1,1,1,0,1,1,4
"pair of beige capri pants. the pants are made of a soft, stretchy material and have a straight cut. they are designed to be comfortable and flattering for a variety of body types.",1,5,0,0,1,1,1,0.2,179,33,26,1,0,1,0,1,0,1,0,3
charcoal gray cowl neck top made of a soft material. the top is loose fitting and has long sleeves.,1,1,0,1,1,1,1,1.0,99,19,18,1,0,1,0,1,0,1,0,2
black flowy top with a chiffon overlay. the top has a v-neckline and the chiffon overlay has a cowl neckline. the top is worn with a pair of black pants.,1,1,0,1,1,1,1,1.0,153,31,18,1,1,2,0,1,1,1,0,3
pair of black and gray pants. the pants have a black and gray color scheme with a gray stripe on the side. the pants are made of a stretchy material and have a loose fit. the pants are worn by a woman who is wearing a black tank top and a black and gray hoodie.,1,1,0,1,1,1,1,1.0,261,55,30,2,0,3,1,1,0,1,1,4
blue dress with a silver belt. the dress has a v-neckline and a wrap-around design. the belt is silver and has a buckle on it. the dress is made of a shiny material and has a fitted style.,2,3,0,0,1,1,1,0.3333333333333333,188,40,24,2,0,2,0,1,0,1,0,4
"woman wearing a strapless, off-the-shoulder, beige and gold dress with a lace overlay. the dress has a mermaid silhouette and a high slit on the front. the woman is also wearing a pair of gold and beige heels.",1,8,0,0,0,1,1,0.125,209,40,26,2,1,2,1,1,1,1,1,3
red and orange dress with a unique design on it. the dress is made of a lightweight material and has a v-neckline. the dress is short-sleeved and has a flowy fit. the dress is a bright red color with orange embroidery on it. the embroidery is a floral design with a mix of red and orange colors. the dress is a summer style and is perfect for a beach or pool day.,1,2,0,0,1,1,1,0.5,363,74,37,2,0,1,1,1,0,1,1,6
"pink pleated skirt. the skirt is made of a sheer material and has a polka dot pattern. it is a knee-length skirt with a fitted waist and a full, pleated bottom. the skirt is worn by a woman who is standing and smiling.",1,1,0,1,1,1,1,1.0,218,44,29,1,0,1,2,1,0,1,1,4
green and beige jacket with a hood. the jacket is made of a thick material and has a zipper on the front. it also has a fur-lined hood and a pocket on the left side.,1,1,0,1,1,1,1,1.0,165,36,24,2,1,1,0,1,1,1,0,3
black mini skirt with a white belt. the skirt has a wrap-around design and is made of a material that appears to be a blend of cotton and polyester. the belt is made of a shiny material and has a silver buckle. the skirt is worn by a woman who is standing and smiling.,1,9,0,0,0,1,1,0.1111111111111111,268,55,33,3,2,2,0,1,1,1,0,4
"white t-shirt with black lettering on it. the t-shirt has a short sleeve design and a crew neckline. the black lettering on the white t-shirt reads ""off white"".",2,1,0,1,1,1,1,1.0,160,31,19,2,0,1,0,1,0,1,0,3
beige trench coat with a hood. the coat has a double collar and a belted waist. the hood is long and has a pointed shape. the coat is made of a lightweight material and has a relaxed fit.,1,1,0,1,1,1,1,1.0,187,38,23,1,0,1,0,1,0,1,0,4
"black leather jacket with a zipper closure. the jacket has a sleek and modern look, with a fitted silhouette and a zipper detail on the front. the leather material gives it a luxurious feel, and the zipper closure adds a touch of sophistication.",1,7,0,0,0,1,1,0.14285714285714285,245,43,27,1,1,1,0,1,1,1,0,3
red jacket with gold zippers. the jacket has a zipper on the front and a zipper on the sleeve. the jacket is made of a shiny material and has a gold zipper on the front. the jacket is a fitted style and has a gold zipper on the sleeve. the jacket is a fitted style and has a gold zipper on the front.,1,1,0,1,1,1,1,1.0,300,63,20,2,0,1,0,1,0,1,0,5
white t-shirt with a cat graphic on it. the cat has a pink nose and black whiskers. the shirt is yellow and has a cat graphic on it.,1,1,0,1,1,1,1,1.0,132,29,18,4,0,1,1,1,0,1,1,3
"green and black plaid flannel shirt with a button-down collar, long sleeves, and front and back pockets. the shirt has a relaxed fit and is made of a soft, brushed fabric.",1,4,0,0,1,1,1,0.25,171,32,26,2,0,1,1,1,0,1,1,2
blue short sleeve dress with a flowy design and a small neckline. the dress is made of a soft material and has a loose fit.,1,1,0,1,1,1,1,1.0,123,25,20,1,0,1,0,1,0,1,0,2
black coat with a collar. the coat has a black belt at the waist and a black button on the left side. the coat is worn with a white shirt and a black skirt.,1,,1,0,0,0,0,0.0,156,34,20,2,0,4,0,1,0,1,0,3
a woman is wearing a beige chiffon maxi skirt with a high slit and a lace overlay.,1,1,0,1,1,1,1,1.0,82,17,14,1,2,1,1,1,1,1,1,1
beige and red tiered dress with a floral and lace design. the dress has a ruffled collar and a long train. the dress is made of a lightweight fabric and has a vintage-inspired style.,1,1,0,1,1,1,1,1.0,182,35,24,2,1,1,3,1,1,1,1,3
black t-shirt with a white star and a moon on it. the star and moon are outlined in grey. the shirt also has a white circle with a black outline on it.,1,1,0,1,1,1,1,1.0,151,33,20,3,0,1,0,1,0,1,0,3
"brown suede skirt with gold studs. the skirt has a high waist and a zipper closure at the back. the studs are small and gold-toned, adding a touch of elegance to the skirt.",1,1,0,1,1,1,1,1.0,172,34,24,2,1,1,0,1,1,1,0,3
black and white floral print shirt. the shirt has a black and white floral pattern with a black background. the shirt is made of a lightweight material and has a loose fit.,1,10,0,0,0,1,1,0.1,172,32,19,2,0,1,1,1,0,1,1,3
black blazer with gold buttons. the blazer has a fitted style and is made of a shiny material. the gold buttons add a touch of elegance to the overall look.,1,4,0,0,1,1,1,0.25,156,30,22,2,0,1,0,1,0,1,0,3
"black and white print maxi skirt. the skirt has a black and white print with a black waistband. the skirt is long and flowy, with a high waist and a wide hemline. the fabric is made of a lightweight material, making it perfect for warm weather. the skirt is styled with a bohemian vibe, featuring a flowy and loose fit.",1,1,0,1,1,1,1,1.0,319,60,35,2,0,1,0,1,0,1,0,5
pair of pants. the pants are black and white with a striped pattern. the pants are made of a stretchy material and have a slim fit. the pants are worn by a woman who is standing and smiling.,1,10,0,0,0,1,1,0.1,190,38,25,2,0,1,1,1,0,1,1,4
dress with a polka dot pattern. the dress is black and white and has a colorful pattern of circles on it. the dress is a child's dress and is made of a material that is not specified.,1,1,0,1,1,1,1,1.0,183,38,24,2,0,1,1,1,0,1,1,3
"striped, white and black, loose fitting, short sleeve, kaftan with a v-neck and a fringe at the bottom.",1,1,0,1,1,1,1,1.0,103,19,17,2,0,0,1,1,0,0,1,1
"dress. the dress is a multicolored print with a mix of pink, purple, and black. the dress has a v-neckline and a flowy fit.",1,4,0,0,1,1,1,0.25,123,25,18,3,0,1,0,1,0,1,0,3
black dress with a white lace overlay. the dress has a scoop neckline and long sleeves. the dress is fitted at the waist and has a flared skirt. the lace overlay is scalloped and has a floral pattern. the dress is made of a stretchy material and is suitable for a formal or semi-formal occasion.,1,5,0,0,1,1,1,0.2,295,56,33,2,1,2,2,1,1,1,1,5
pair of black pants. the pants are made of a stretchy material and have a loose fit. they are designed to be worn comfortably and have a relaxed style.,1,,1,0,0,0,0,0.0,151,29,22,1,0,1,0,1,0,1,0,3
pair of white pants. the pants are made of a shiny material and have a cropped length. they are paired with a white blazer and a white shirt.,2,3,0,0,1,1,1,0.3333333333333333,141,28,19,1,0,3,0,1,0,1,0,3
black and white dress. the dress has a black and white color scheme and features a v-neckline. the dress is designed to flatter the female figure and is suitable for formal occasions.,1,1,0,1,1,1,1,1.0,183,33,22,2,0,1,0,1,0,1,0,3
"colorful striped skirt. the skirt is made of a knit material and has a multitude of colors including black, white, red, blue, yellow, and green. the skirt is a midi length and has a wide waistband.",1,1,0,1,1,1,1,1.0,197,36,25,6,1,1,1,1,1,1,1,3
"mustard-colored, loose-fitting, oversized, short-sleeved, round-necked, knit top with a wide, loose fit and a wide, loose neckline.",1,3,0,0,1,1,1,0.3333333333333333,131,21,17,0,1,1,0,0,1,1,0,1
denim jacket with a collar. the jacket is light blue in color and has a distressed look. it features a front button closure and a pocket on the chest. the jacket is worn by a mannequin and is displayed in a store.,1,5,0,0,1,1,1,0.2,213,42,28,1,1,1,0,1,1,1,0,4
"turquoise colored blazer. the blazer is made of a lightweight material and has a cropped fit. it features a notched lapel, two front pockets, and a buttoned cuff.",1,2,0,0,1,1,1,0.5,162,28,23,1,0,1,0,1,0,1,0,3
red polo shirt with a collar. the shirt is made of a soft material and has a rounded hemline. the shirt is a classic style and is available in a variety of colors.,1,1,0,1,1,1,1,1.0,163,33,22,1,0,1,0,1,0,1,0,3
black and grey zebra print fabric.,1,1,0,1,1,1,1,1.0,34,6,6,2,0,0,0,1,0,0,0,1
black skirt with multiple layers of tulle. the tulle is sheer and has a net-like appearance. the skirt is worn by a woman and has a waistband.,1,4,0,0,1,1,1,0.25,142,28,20,1,0,1,1,1,0,1,1,3
"black satin skirt with a bow at the waist. the skirt has a flowing and dramatic style, and it is worn with a black top. the skirt is long and covers the entire lower body, while the bow adds a touch of femininity to the outfit. the fabric is smooth and shiny, and the overall style is elegant and sophisticated.",1,2,0,0,1,1,1,0.5,311,60,36,1,1,2,0,1,1,1,0,4
"pair of brown pants. the pants are made of denim material and have a relaxed fit. they are dark brown in color and have a corduroy-like texture. the pants have a button and zipper closure, and they are cuffed at the bottom.",1,8,0,0,0,1,1,0.125,223,43,27,1,2,1,0,1,1,1,0,4
black t-shirt with a rounded neckline and short sleeves. the shirt is made of a soft material and has a loose fit.,1,,1,0,0,0,0,0.0,114,23,19,1,0,1,0,1,0,1,0,2
red top with a gold zipper. the top is made of a soft material and has a collar. the top is a solid color and has a gold zipper on the front.,1,,1,0,0,0,0,0.0,141,32,19,2,0,1,1,1,0,1,1,3
"black and silver sequined dress. the dress has a v-neckline and a short sleeve. the sequins are small and shiny, and the dress has a flowy fit.",1,1,0,1,1,1,1,1.0,143,28,18,2,0,1,1,1,0,1,1,3
gray legging with black mesh panels. the legging has a black waistband and a black mesh panel on the back. the legging is made of a stretchy material and has a sporty look.,1,6,0,0,0,1,1,0.16666666666666666,172,33,21,2,0,0,1,1,0,0,1,3
red and black floral printed top with a high neckline and long sleeves. the fabric is lightweight and the top has a loose fit. the floral pattern consists of red and orange flowers on a black background.,1,,1,0,0,0,0,0.0,203,37,26,3,0,1,2,1,0,1,1,3
"white and khaki quilted jacket with a hood, two front buttoned pockets, and a buttoned collar. the jacket has a hood and a front zipper.",1,1,0,1,1,1,1,1.0,136,25,16,2,0,1,1,1,0,1,1,2
black bomber jacket with a zipper. the jacket has a front zippered pocket and a zippered pocket on the sleeve. the jacket is worn by a woman with a white shirt underneath.,1,,1,0,0,0,0,0.0,171,32,21,2,0,2,0,1,0,1,0,3
"black tank top with a ruffled peplum design. the top is made of a soft, flowy material and has a loose fit. the ruffles are black and add a feminine touch to the top.",1,1,0,1,1,1,1,1.0,166,34,25,1,0,1,1,1,0,1,1,3
red quilted jacket with a fur-trimmed hood. the jacket is made of a shiny material and has a zipper closure. the fur-trimmed hood is a unique feature of this jacket.,1,1,0,1,1,1,1,1.0,165,32,21,1,1,1,1,1,1,1,1,3
black and gray down jacket with a silver zipper. the jacket has a quilted design and a belt at the waist. the woman is wearing a black hat and is standing in front of a white background.,1,1,0,1,1,1,1,1.0,186,37,26,4,0,3,1,1,0,1,1,3
"white mesh top with a high neckline and short sleeves. the top has a polo neckline and a ribbed texture. the mesh is made of a stretchy material, and the top is designed to fit closely to the body.",1,3,0,0,1,1,1,0.3333333333333333,197,39,25,1,0,1,2,1,0,1,1,3
green and white knit top. the top is made of a stretchy material and has a v-neckline. it is a cropped top and has a fitted silhouette.,1,2,0,0,1,1,1,0.5,135,28,19,2,1,1,0,1,1,1,0,3
happy hour orange t-shirt with a small orange logo on the front.,1,1,0,1,1,1,1,1.0,64,13,12,1,0,1,0,1,0,1,0,1
"gray fur vest. the vest is made of fur and has a zipper in the front. the fur is thick and fluffy, and the vest is designed to be worn over a shirt or jacket.",1,1,0,1,1,1,1,1.0,158,35,23,1,1,3,0,1,1,1,0,3
"black skirt with a high slit. the skirt is made of a stretchy material and has a flowy, feminine style.",2,,1,0,0,0,0,0.0,103,20,17,1,0,1,0,1,0,1,0,2
leopard print jacket with a purple zipper. the jacket has a black and green leopard print with a black zipper. the jacket is made of a stretchy material and has a cropped design.,1,1,0,1,1,1,1,1.0,178,33,19,3,0,1,0,1,0,1,0,3
"beige tulle skirt. the tulle is sheer and has a light, airy texture. the skirt is midi length and has a flowy, feminine style.",1,1,0,1,1,1,1,1.0,126,24,17,1,0,1,1,1,0,1,1,3
white denim skirt with five black buttons on the front. the skirt has a distressed look and is made of denim material. it is a midi-length skirt that falls just above the knee.,1,1,0,1,1,1,1,1.0,176,34,27,2,1,1,0,1,1,1,0,3
blue shirt with a collar. the shirt has a button-down style and is made of a lightweight material. the collar is folded down and the shirt has short sleeves. the shirt is worn by a woman who is standing in front of a white wall.,1,1,0,1,1,1,1,1.0,228,46,28,2,0,1,0,1,0,1,0,4
"brown t-shirt with a pink design on the front. the t-shirt has a crew neckline and short sleeves. the pink design is a simple line drawing of a heart. the t-shirt is made of a soft, lightweight material, possibly cotton or a cotton blend. the t-shirt is styled in a basic, casual fashion.",1,1,0,1,1,1,1,1.0,288,57,35,2,1,1,0,1,1,1,0,5
white shirt with black and grey geometric shapes on it. the shirt has a collar and long sleeves.,1,1,0,1,1,1,1,1.0,96,18,16,3,0,1,1,1,0,1,1,2
"white long sleeve shirt with a collar and a button on the front. the shirt is made of a soft, lightweight fabric and has a relaxed fit. the collar is folded down and the sleeves are rolled up at the cuffs. the shirt is a simple yet stylish addition to any wardrobe.",1,,1,0,0,0,0,0.0,265,52,36,1,0,1,0,1,0,1,0,4
"yellow dress with ruffles. the dress is made of a lightweight material, possibly chiffon, and has a flowy, loose fit. the dress is sleeveless and has a deep v-neckline. the ruffles on the dress are yellow and add a playful touch to the overall look.",1,1,0,1,1,1,1,1.0,249,46,30,1,1,1,0,1,1,1,0,4
pink dress with a floral pattern. the dress has a fitted bodice and a flowing skirt. the dress is made of a shiny material and has a zipper closure on the back.,1,,1,0,0,0,0,0.0,160,32,22,1,0,2,1,1,0,1,1,3
"black and white printed button-down shirt with a collar. the shirt has a front pocket and a long sleeve design. the print features a black and white zebra pattern with a leopard-like design. the shirt is made of a lightweight material, possibly cotton or linen, and has a casual, relaxed fit.",2,2,0,0,1,1,1,0.5,292,53,35,2,2,1,1,1,1,1,1,4
black leather skirt. the skirt is made of leather and has a shiny finish. it is a fitted style with a zipper closure at the back.,2,5,0,0,1,1,1,0.2,129,26,20,1,1,1,0,1,1,1,0,3
woman wearing a long black dress with a flowing skirt and a low back. the dress has a chiffon material and a sleeveless design. the woman is also wearing a silver necklace and a black clutch purse.,1,,1,0,0,0,0,0.0,197,37,24,2,1,3,0,1,1,1,0,3
"green and black jacket with a hood. the jacket has a zipper on the front and a button on the collar. the jacket is made of a material that is not specified, but it appears to be a lightweight fabric. the jacket has a hood that is folded up and a pocket on the front. the jacket is styled in a casual fashion.",1,3,0,0,1,1,1,0.3333333333333333,308,63,35,2,0,1,0,1,0,1,0,5
"black mesh top with a sheer black velvet neckline. the mesh is made of a shiny material, and the neckline is adorned with a black velvet ribbon. the top is worn by a woman with long hair.",1,1,0,1,1,1,1,1.0,187,37,22,1,1,1,2,1,1,1,1,3
pair of green cargo pants with cargo pockets and a drawstring waist. the pants are made of a durable material and have a loose fit.,1,,1,0,0,0,0,0.0,131,25,19,1,0,1,0,1,0,1,0,2
"brown and black printed top with a floral pattern. the top is made of a soft material, possibly a blend of cotton and polyester, and has a loose fit. the print features a mix of brown, black, and white colors, with a focus on flowers and leaves. the top is styled with a cowl neckline and long sleeves, and has a relaxed, bohemian vibe.",1,8,0,0,0,1,1,0.125,336,64,39,3,2,1,2,1,1,1,1,4
yellow and black plaid mini skirt with a black elastic waistband.,1,1,0,1,1,1,1,1.0,65,11,10,2,0,1,1,1,0,1,1,1
"pink faux fur jacket with a shawl collar and long sleeves. the jacket has a relaxed fit and is made of a soft, fuzzy material. the faux fur is light pink in color and has a fluffy texture. the jacket is styled with a shawl collar and long sleeves, and it has a front button closure.",1,1,0,1,1,1,1,1.0,282,56,31,1,1,1,0,1,1,1,0,4
black dress with a floral embroidery on the front. the dress has a round neckline and short sleeves. the embroidery features white flowers with green leaves. the dress has a fitted bodice and a full skirt with a small train. the dress is made of a stretchy material and has a black color.,1,1,0,1,1,1,1,1.0,288,53,32,3,0,2,1,1,0,1,1,5
plaid shirt with a green and blue color scheme. the shirt has a collar and long sleeves. the fabric is made of cotton and the shirt is loose fitting.,1,2,0,0,1,1,1,0.5,149,29,21,2,1,1,1,1,1,1,1,3
"black dress. the dress is made of a stretchy material and has a flowy, loose fit. it features a v-neckline and a high slit on the front. the dress is sleeveless and has a low back.",1,,1,0,0,0,0,0.0,180,37,25,1,0,1,0,1,0,1,0,4
brown leather skirt with a buckle on the side. the skirt is a wrap style and has a belt that is tied around the waist. the leather material is soft and smooth to the touch.,1,1,0,1,1,1,1,1.0,172,35,24,1,1,2,0,1,1,1,0,3
black belt with a red leather strap. the belt is made of leather and has a buckle. the leather strap is thick and has a red color.,1,1,0,1,1,1,1,1.0,130,27,16,2,1,1,0,1,1,1,0,3
"brown and black quilted jacket with a hood. the jacket has a high collar, long sleeves, and a front zipper closure. the jacket is made of a soft material, possibly a synthetic blend, and has a warm, puffy appearance.",1,3,0,0,1,1,1,0.3333333333333333,216,39,28,2,0,1,1,1,0,1,1,3
black and white maxi skirt with a floral print. the skirt is made of a flowy chiffon material and has a tiered design with a ruffled hem. it is a fashionable and stylish piece of clothing.,1,1,0,1,1,1,1,1.0,188,36,26,2,1,1,2,1,1,1,1,3
"white vest with a quilted design. it is made of a soft, lightweight material and has a zipper closure. the vest is styled in a fashionable manner and is suitable for colder weather.",1,6,0,0,0,1,1,0.16666666666666666,181,33,26,1,0,1,1,1,0,1,1,3
black skirt. the skirt is made of a flowy material and has a high waist. it is a midi length skirt that falls just above the knee.,1,1,0,1,1,1,1,1.0,130,27,21,1,0,1,0,1,0,1,0,3
green parka with a fur-trimmed hood and a drawstring waist. the jacket has a faux fur hood and a front zip closure. it is a winter jacket with a fashionable style.,1,3,0,0,1,1,1,0.3333333333333333,163,32,22,1,1,1,0,1,1,1,0,3
the main item is a black short-sleeved top with silver studs on the back. the top has a round neckline and a straight hemline.,1,1,0,1,1,1,1,1.0,126,25,20,2,0,1,0,1,0,1,0,2
dress. the dress is red in color and has a high neckline. the dress is made of a stretchy material and has a structured shape. the dress also has a zipper on the back.,1,,1,0,0,0,0,0.0,167,34,21,1,0,1,0,1,0,1,0,4
black dress with a white collar and a silver zipper. the dress has a fitted bodice and a flared skirt. the dress is made of a stretchy material and has a sleeveless design.,1,7,0,0,0,1,1,0.14285714285714285,172,33,22,3,0,2,0,1,0,1,0,3
