qi,query,rank_a,rank_b,rank_f
303,black woolen pant with a wide leg and a cropped length. the pant has a ribbed texture and is adorned with white pom-poms. the pant is paired with a white turtleneck sweater and a black and white checkered blazer.,3,8,2
304,"brown coat with a fur collar. the coat has a short, puffy sleeve and a wide, folded cuff. the coat is worn over a brown shirt and a pair of brown pants. the coat is made of a brown, fuzzy material and has a fur collar.",4,101,14
305,"red pleated skirt. the skirt is made of a shiny material and has a red color. it is a midi-length skirt with a high waist and a wide, flowing bottom.",18,79,28
306,"white shirt with three small round buttons on the front. the buttons are made of metal and have a gold color. the shirt has a high collar and long sleeves with a button cuff. the fabric of the shirt is a lightweight, smooth material.",101,101,101
307,blue floral print dress with a strapless neckline and a flowing skirt. the dress has a fitted bodice and a flowing skirt with a floral print. the dress is worn by a woman with long hair and a ponytail.,101,101,101
308,"skirt. it is a light brown color with a print of white, blue, and black. the skirt is made of a material that appears to be a blend of cotton and polyester. the skirt has a high waist and a wide band at the bottom. the print on the skirt is a mix of geometric shapes and lines.",12,24,8
309,"blue and white top with a ruffled design. the top is made of a lightweight material and has a flowy fit. the blue color is a deep navy blue, while the white is a lighter shade of blue. the ruffles are white and add a feminine touch to the top. the top is a sleeveless design and has a v-neckline.",86,101,43
310,black top with a ruffled collar. the top is made of a stretchy material and has a high neckline. the ruffled collar is a unique feature that adds a touch of femininity to the otherwise simple top.,7,46,11
311,black leather vest with silver zippers. the vest has a buckle on the shoulder and a silver zipper on the front. the vest is worn by a man with a white shirt underneath.,1,12,1
312,a gray plaid coat with a fuzzy texture and a black collar. the coat has a front button closure and long sleeves.,3,4,3
313,"teal colored pleated skirt with a black belt. the skirt has a high waist and a wide, flowing bottom.",4,1,1
314,"gold pleated skirt. the skirt is made of a shiny material and has a metallic finish. it is a long, flowing skirt that falls to the knees. the pleats are evenly spaced and create a ruffled effect. the skirt is a perfect choice for a night out or a special occasion.",9,3,3
315,red t-shirt with a floral design on the front. the shirt has a round neckline and short sleeves.,1,1,1
316,black leather jacket with a zipper. the jacket has a brown color and is made of leather material. it is a fashionable style and is suitable for cold weather.,8,93,12
317,"striped shirt with a multicolored pattern. the colors include black, white, pink, and blue. the shirt has a loose fit and features a collar. the stripes are thick and the pattern is abstract.",1,1,1
318,blue and black leather jacket with a zipper closure. the jacket has a collar and a front zippered pocket. the sleeves are long and have a zippered cuff. the jacket is worn by a woman with a white shirt underneath.,51,22,27
319,black leather jacket with silver zippers. the jacket has a collar and a zipper on the front. the person wearing the jacket is also wearing a white shirt underneath.,10,3,2
320,"blue and white tank top with a vibrant print of blue and orange colors. the tank top has a v-neckline and a sleeveless design. the print is abstract and features a mix of blue and orange colors. the tank top is made of a stretchy material, which allows for a comfortable and flexible fit.",6,7,5
321,pink duster dress with a pocket on the front. the dress is made of a soft fabric and has a loose fit. the dress is styled with a wide collar and a long sleeve.,101,101,101
322,"blue and white off-the-shoulder dress with a floral print. the dress has a fitted bodice and a flowing skirt with a high waistline. the colors are blue and white, and the dress is made of a lightweight material.",5,3,3
323,black and white vest. the vest is made of a shiny material and has a quilted design. it is a women's vest and is worn with a black shirt underneath.,101,101,101
324,"white dress with a floral print. the dress has a v-neckline and long sleeves. the floral pattern consists of red, orange, and yellow flowers. the dress is made of a lightweight material, possibly cotton or linen. the dress is styled in a bohemian fashion, with a loose fit and flowy skirt.",4,8,4
325,black and white printed blouse with a zipper closure and a black and white pattern. the blouse has a black and white chest print and a black and white back print.,101,101,101
326,woman wearing a white ruffled skirt. the skirt has a mermaid style and is made of a shiny material. the woman is also wearing a white crop top and has long brown hair.,14,90,21
327,black mini skirt. the skirt is made of a stretchy material and has a fitted waistline. it is a high-waisted skirt that is designed to be worn with a mid-rise top. the skirt is a popular choice for casual wear and can be dressed up or down depending on the occasion.,101,101,101
328,pair of purple pants. the pants are made of a stretchy material and have a straight cut. they are designed to be worn with a tucked-in top.,26,9,10
329,"pleated skirt with a star print. the skirt is green, blue, and pink in color and has a fashionable style.",2,1,2
330,black wool blazer with a double breasted front and two front flap pockets. the blazer has a collar and a button on the cuff. the jacket is worn with a white shirt and a black turtleneck underneath.,2,10,3
331,"black shirt with a white under armour logo on it. the shirt is made of a material that is both breathable and moisture-wicking, making it suitable for athletic activities. the shirt has a fitted style and features a rounded neckline, short sleeves, and a straight hemline. the under armour logo is embroidered on the front of the shirt, and the word ""armour"" is written in white letters on the back.",34,44,34
332,"pair of black pants with a wide leg and a cropped length. the pants have a zipper and a button closure, and they are made of a shiny material. the pants are worn by a woman who is standing and facing away from the camera.",101,101,101
333,white vest with a collar. the vest is made of a shiny material and has a sleeveless design. it is worn over a white shirt and has a front pocket.,101,101,101
334,white pencil skirt. the skirt is made of a lightweight material and has a fitted waistline. the skirt is knee-length and has a front slit.,99,101,94
335,black t-shirt with a graphic of a young man on it. the t-shirt has a short sleeve design and is made of a soft material. the graphic features the young man wearing a blue hat and a black shirt with white lettering. the t-shirt has a loose fit and is a part of a streetwear fashion style.,1,2,2
336,pair of gray leggings with a black belt. the leggings have a mesh design and feature a white under armour logo on the left leg. the belt is made of a shiny material and has a black color.,101,96,85
337,burgundy dress with a plunging neckline. the dress is made of a stretchy material and has a one shoulder strap. the dress is a simple yet elegant style that is perfect for a night out.,101,101,101
338,"faux fur vest. the vest is brown and white in color and is made of a faux fur material. it has a plush, soft texture and is designed to be worn over a shirt or sweater. the vest features a high collar, long sleeves, and a front zipper closure. it is a fashionable and warm accessory that can be worn with a variety of outfits.",101,101,101
339,pair of wide-legged pants that are brown in color. the pants are made of a stretchy material and have a loose fit. they are designed to be worn comfortably and are suitable for a variety of occasions.,101,101,101
340,black t-shirt with a cut out on the side. the t-shirt has a loose fit and is made of a soft material. the cut out is a large oval shape and is located on the left side of the t-shirt. the t-shirt is styled with a high-low hemline and is paired with a pair of black skinny jeans.,30,2,4
341,pair of black leggings with a white logo on the left leg. the leggings have a high waist and a wide leg opening.,101,101,101
342,"colorful and graphic printed button-down shirt with a short sleeve design. the shirt features a variety of different images and designs, including a comic print, a caricature of a man, and a variety of other graphics. the shirt is made of a lightweight material, likely cotton, and has a loose fit.",6,4,5
343,"blue t-shirt with a v-neck and short sleeves. the shirt has a small white logo on the front and is made of a soft, stretchy material.",101,101,101
344,"beige down jacket with a hood. the jacket has a front zip closure, two side pockets, and a silver-tone zipper pull. the jacket is made of a lightweight material, possibly a synthetic blend, and has a relaxed fit. the hood is not detachable and is designed to be worn over the head. the jacket is suitable for cold weather and is styled in a casual, everyday fashion.",59,14,28
345,white and black leather skirt with a lace overlay. the skirt has a high waist and a zipper closure on the back. the lace overlay is made of a sheer white fabric with a black lace pattern. the skirt is fashioned in a mini style and is suitable for both casual and formal occasions.,1,1,1
346,blue floral dress with a collar and long sleeves. the dress has a button-up front and a flowy fit. the floral pattern consists of blue flowers on a navy blue background.,20,46,30
347,black dress. the dress is made of a stretchy material and has a simple design. it is a sleeveless dress with a scoop neckline and a straight cut. the dress is knee-length and has a simple design that is perfect for a casual outing.,93,98,86
348,pair of black pants. the pants are made of a shiny material and have a loose fit. they are worn by a mannequin and are displayed on a white background.,101,101,101
349,pair of white pants. the pants are made of a stretchy material and have a cropped length. they are paired with a white blazer and a white shirt. the outfit is styled in a modern fashion style.,101,101,101
350,pink and white dress with a floral pattern. the dress has a fitted bodice and a flared skirt. the sleeves are long and have a ruffled edge. the neckline is a deep v-neck and the dress is made of a lightweight material.,101,56,61
351,pair of black pants. the pants are made of a stretchy material and have a straight cut. they are designed to fit close to the body and have a high waistline. the pants are held up by a belt that is also black in color. the pants have a slimming effect and are suitable for a variety of occasions.,101,101,101
352,black leather skirt with a white zipper. the skirt has a faux leather look and features a cutout design on the front. the skirt is worn with a black top and is suitable for a night out.,101,101,101
353,"blue denim skirt with five black buttons on the front. the skirt has a high waist and a front zipper closure. the fabric is made of denim and the skirt is a dark blue color. the buttons are small and round, and the skirt has a straight cut.",18,31,13
354,pair of brown pants with a black and white pattern. the pants have a high waist and are cropped at the ankle. the pattern consists of small black dots on a white background.,38,5,17
355,"white blouse with a pleated neckline. the blouse has a loose fit and is made of a lightweight material. the white color of the blouse is accentuated by the pleated neckline, which adds a touch of femininity to the overall look. the loose fit of the blouse allows for a comfortable and relaxed fit, making it a versatile piece that can be worn in a variety of settings.",48,101,101
356,black and grey dress with a long sleeve and a short skirt. the dress is made of a shiny material and has a zipper on the back.,1,1,1
357,beige lace dress with a high neckline and short sleeves. the dress has a keyhole cutout at the neckline and a small cutout at the waistline. the dress also features a lace-up back with ties.,101,101,101
358,"red plus size skirt. the skirt is made of a stretchy material and has a high slit on the front. it is a long, flowing skirt that falls just above the knee.",23,101,54
359,beige and white dress. the dress is made of a knit material and has a v-neckline. the dress is sleeveless and has a crochet design on the front. the dress is a tank style and is worn by a woman.,1,1,1
360,pair of black pants. the pants are loose and have a flowy fit. they are made of a soft material and have a wide leg. the pants are worn by a woman who is standing and has her hands on her hips.,101,101,101
361,"white, strapless, ruffled, knit top. the top is made of a stretchy, knit material and has a high neckline. the ruffles are white and appear to be made of the same material as the rest of the top. the top is a fashionable piece of clothing that is suitable for a variety of occasions.",96,101,101
362,pink leather jacket with a peplum silhouette. the jacket has a zipper closure and a gold zipper pull. the peplum is ruffled and has a fringe detail. the jacket is worn over a white shirt and has a black belt with a gold buckle.,2,1,1
363,black leather jacket with a zipper front and a zippered pocket on the chest. the jacket also has a silver zipper pull and a zippered pocket on the sleeve. the jacket is worn by a woman with a white shirt underneath.,101,101,101
364,"denim shirt with a light blue color. the shirt has a western style and features a button-down collar, long sleeves, and a front pocket. the denim material is made of 100% cotton and has a distressed look with faded patches. the shirt is oversized and has a relaxed fit, making it a perfect choice for a casual outfit.",57,1,10
365,pair of white pants. the pants are made of a lightweight material and have a straight cut. they are cuffed at the ankle and have a front zipper closure. the pants are worn by a woman who is standing and has her hands on her hips.,101,34,70
366,wedding dress. the dress is made of lace and has a mermaid silhouette. the bride is wearing a white veil and a silver headpiece. the dress has a low back and a long train.,2,101,8
367,"teal green plus size dress. the dress is a sleeveless, knee-length dress with a scoop neckline. the dress is made of a stretchy material and is designed to fit and flatter a fuller figure.",1,11,1
368,white tank top with a yellow floral print.,1,6,2
369,"black and white floral print skirt. the skirt has a floral print with black and white colors. the skirt is a midi length and has a zipper closure on the back. the skirt is made of a lightweight material, possibly a cotton blend. the skirt is styled in a flowy and feminine fashion.",101,101,101
370,black and yellow dress. the dress has a black and yellow pattern and is made of a material that appears to be a stretchy fabric. the dress is a sleeveless style and has a fitted waistline.,3,1,1
371,red leather jacket. the jacket has a zipper and a collar. the leather is shiny and smooth. the jacket is a women's style and is made of high-quality leather.,101,36,81
372,"light blue t-shirt with a scoop neckline and short sleeves. the shirt has a soft and comfortable feel, and the color is a light blue that is perfect for spring and summer.",30,18,19
373,"white t-shirt with a red heart on the front. the heart has the word ""love"" written in red letters. the t-shirt has a relaxed fit and is made of a soft, stretchy material.",14,101,39
374,black tie worn by a woman. the tie is long and has a white collar. the woman is wearing a white shirt and a black dress. the tie is worn around her neck and has a knot at the top.,4,28,7
375,pair of plaid pants. the pants are blue and white with a black and white checkered pattern. the pants have a wide leg and a cropped length.,3,1,3
376,pair of black and white pants with a chevron pattern. the pants are made of a shiny material and have a loose fit.,18,90,23
377,"white skirt with a striped pattern. the skirt is made of a lightweight material, possibly cotton or linen, and has a fitted waistline. the stripes are thin and evenly spaced, creating a subtle pattern that adds texture to the skirt. the skirt is designed to be worn with a blouse or a tucked-in top, and it is suitable for both casual and formal occasions.",19,22,15
378,beige satin skirt. the skirt is long and has a slit on the side. the skirt is worn with a white turtleneck and a pair of black slip-on shoes.,10,2,5
379,"red and black dress with a floral pattern. the dress has a deep v-neckline and long sleeves. the fabric is made of a stretchy material, and the dress is designed to be flowy and comfortable to wear. the floral pattern is made up of red and black flowers, and the dress has a black belt at the waist to accentuate the figure.",58,101,101
380,pair of camouflage leggings. the leggings are made of a stretchy material and have a green color. they are worn by a woman who is standing and has her hands on her hips.,2,3,1
381,"black lace top with a high neckline and a low back. the top is made of a soft, flowy material and has a relaxed fit. the lace is delicate and adds a touch of elegance to the overall look.",76,15,27
382,black tank top with a scoop neckline. the tank top is made of a stretchy material and has a loose fit. it is a basic piece of clothing that can be worn for various occasions.,101,101,101
383,pink dress with a strapless neckline and a low back. the dress is made of a stretchy material and has a form-fitting design. the dress is also adorned with a lace trim on the neckline and hemline.,101,101,101
384,black dress with a short sleeve and a belt at the waist. the dress is made of a matte material and has a collared neckline. the dress is a shirt style dress and is a midi length.,3,8,5
385,"red and black polka dot top with a ruffled neckline and a pleated skirt. the top is made of a stretchy material and has a loose fit. the colors red and black are prominent in the design, and the top features a small black polka dot pattern.",3,2,2
386,denim shirt with a front pocket. the shirt is light blue in color and has a distressed look. it is a button-down style with a collar and a front pocket. the shirt is made of a lightweight denim material and has a relaxed fit.,101,101,101
387,white ruffled tank top. the top is made of a sheer material and has a ruffled edge. it is worn with a cream-colored cami underneath.,39,25,25
388,black and white vest with a black zipper. the vest is made of a shiny material and has a quilted design. it is worn by a woman who is standing in front of a brick wall.,101,101,101
389,black and white striped sequin skirt. the skirt is made of a shiny material and has a sequin design. it is a midi-length skirt that falls just above the knee.,3,3,3
390,"white ruffled shirt with a high collar and a wide, puffy sleeve. the shirt has a white button-up front and a white belt at the waist. the shirt is made of a lightweight material, possibly cotton or linen, and has a loose, flowy fit. the ruffles on the shirt are white and appear to be made of the same material as the rest of the shirt. the shirt is styled with a white button-up shirt underneath it, and the sleeves of the shirt are rolled up at the elbows.",15,32,12
391,maroon colored top with a ruffled edge. the top has a round neckline and three quarter length sleeves. the ruffles are in different sizes and are scattered all over the top.,6,9,6
392,brown leather belt with a buckle. the belt is worn around a woman's waist and is made of high-quality leather material. the belt is a fashionable accessory that complements the woman's outfit.,47,13,14
393,pair of dark blue jeans. the jeans have a straight leg cut and are made of a stretchy material. the jeans are worn by a woman who is standing and has her hands on her hips.,101,101,101
394,black and brown skirt. the skirt has a black base with brown pleats and a black belt. the skirt is short and has a high waist.,101,65,101
395,blue denim skirt with a zipper closure. the skirt has five pockets and is made of a high-quality denim material. the skirt is styled in a classic denim style and is suitable for casual wear.,10,6,4
396,"blue sequined dress. the dress has a v-neckline and a back zipper closure. the sequins are small and shiny, and the dress has a fitted silhouette.",61,101,77
397,green and black quilted jacket with a brown fur collar. the jacket has a zipper and a button on the front. the woman is wearing a black shirt underneath the jacket.,11,91,19
398,"black leather jacket with a collar, a zipper, and a pocket on the left side. the jacket has a sleek and modern look, and it is made of high-quality leather.",101,101,101
399,black dress with a ruffled off-the-shoulder neckline. the dress is made of a flowy material and has a tiered design with ruffles on the bottom.,8,101,47
400,black and gold dress. the dress has a black base with gold embellishments on the top. the dress is a formal gown with a sheer neckline and a long sleeve. the dress is also adorned with gold beads and sequins. the dress is floor-length and has a mermaid silhouette.,31,6,10
401,brown fringed suede vest with tassels. the vest has a western style and is worn by a woman. the vest is adorned with multiple tassels and has a brown color.,12,6,9
402,purple and black woolen jacket with a high collar and long sleeves. the jacket has a zipper closure and is worn by a woman.,6,55,12
403,"striped black and white dress with a short ruffled neckline and short sleeves. the dress has a loose fit and is made of a lightweight material. the stripes are thin and the dress has a casual, relaxed style.",19,3,6
404,blue dress with palm trees on it. the dress is made of a lightweight material and has a loose fit. the palm trees are white and are printed on the dress.,12,38,17
405,"black top with a lace design. the lace is black and has a floral pattern. the top is a short-sleeved shirt and has a round neckline. the material appears to be a stretchy fabric, possibly a blend of cotton and polyester. the fashion style of the top is a blend of casual and formal, making it suitable for both everyday wear and special occasions.",33,101,87
406,"green pencil skirt with a striped pattern. the skirt has a zipper closure and is made of a stretchy material. the stripes are black and white, and the skirt has a high waist and a flared bottom.",6,1,2
407,"multicolored printed blouse with a loose fit and a flowing silhouette. the blouse features a black and red floral print with a bohemian style and a mandarin collar. the sleeves are long and loose, and the neckline is high and open. the blouse is worn with a black belt around the waist, adding a touch of structure to the loose silhouette.",101,101,101
408,blue leather jacket with a zipper. the jacket has a silver zipper and a silver button. the leather is shiny and the jacket has a fitted style.,75,64,60
409,woman wearing a black and beige striped skirt. the skirt is made of a stretchy material and has a high waist. the woman is also wearing a black top and black pumps.,101,101,101
410,gray striped top with a loose fit and long sleeves. the top is made of a stretchy knit material and has a loose fit. the stripes on the top are black and the top is oversized.,19,15,13
411,"beige t-shirt with a short sleeve and a round neckline. the t-shirt is made of a soft and lightweight material, and it has a relaxed fit. the t-shirt is a basic piece of clothing that can be worn with jeans or shorts for a casual and comfortable look.",101,101,101
412,"brown and black short-sleeved dress with a floral print. the dress has a v-neckline and a flowy fit. the fabric is made of a lightweight material, possibly cotton or linen, and the dress is designed to be loose and comfortable. the colors used in the floral print are predominantly brown, with some black and white accents. the dress is styled in a bohemian fashion, making it a perfect choice for a casual summer outing.",101,101,101
413,black lace pencil skirt. the skirt is made of a stretchy material and has a lace design on the front. it is a knee-length skirt that falls just above the knee.,55,101,101
414,"blue top with a cowl neckline. the material appears to be a soft knit, and the style is casual.",6,31,14
415,white dress with a zipper in the back. the dress has a white color and a sleeveless design. the dress also has a zipper in the back and a small slit on the side.,85,101,89
416,black fabric with a smooth texture.,24,24,21
417,"black shirt with a collar. the shirt has a loose fit and is made of a soft material. it is a long-sleeved shirt with a button-down collar and a front pocket. the shirt is styled in a classic fashion, suitable for both casual and formal occasions.",65,101,56
418,white t-shirt with a drawing of a skeleton holding a gun on it. the shirt has a distressed look and features a black and red design.,1,1,1
419,"white floral print blouse with a collar and long sleeves. the blouse has a loose fit and is made of a lightweight material. the floral print consists of red, yellow, and green flowers on a white background.",1,3,1
420,denim jacket. the jacket is oversized and has a distressed look. it is worn by a young girl who is posing for the camera. the jacket is made of denim material and has a patchwork design. the jacket is also decorated with a variety of buttons and patches.,55,101,101
421,"black ea7 logo print long sleeve shirt with a round neck, a straight hem, and a back print. the shirt is made of a stretchy knit material with a soft texture. the logo print features a white ea7 logo on the front left side of the shirt. the shirt is designed for a loose fit and has a relaxed, casual style.",5,5,5
422,yellow and green floral print long sleeve shirt with a matching skirt. the shirt has a collar and a front button closure. the skirt has a matching print and is knee-length. the outfit is reminiscent of the 1960s mod style.,1,1,1
423,pink tank top with a black and white design on the front. the tank top is made of a soft material and has a rounded neckline.,26,4,11
424,"pair of gray sweatpants. the sweatpants have a drawstring waist and a loose fit. they are made of a soft material, possibly cotton or a cotton blend. the sweatpants are styled in a casual fashion, making them perfect for lounging at home or working out.",40,101,74
425,"blue dress with a black belt. the dress has a flowy, bohemian style and is made of a lightweight material. the belt is tied in the front and adds a touch of sophistication to the outfit.",101,101,101
426,wine red dress with a v-neckline and a fitted bodice. the dress has a zipper on the back and a small slit on the front. the dress is made of a stretchy material and is a size 10.,63,58,46
427,"black and white lace dress. the dress has a black lace bodice and a white lace skirt. the dress is short and has a plunging neckline. the lace is intricate and detailed, with a floral pattern. the dress is styled with a high slit on the skirt and a low back.",101,101,101
428,"black and white blouse with puffed sleeves, a high neck, and a black lapel. the blouse is made of a black fabric with a white collar and cuffs. the sleeves are puffed and have a black lapel on the shoulder. the blouse is styled in a formal fashion with a high neck and lapel.",101,101,101
429,purple dress with a one shoulder design. the dress has a pinkish hue and is made of a stretchy material. the dress is a size 10 and is worn by a woman with a slim figure.,4,2,2
430,tank top. it is black in color and made of a stretchy material. the tank top has a scoop neckline and a wide strap that goes around the back.,101,101,101
431,white short-sleeved shirt with a lace overlay on the top. the shirt has a round neckline and a loose fit.,36,101,101
432,"black and multi-colored floral print tank top. the top is made of a lightweight material, possibly a blend of cotton and polyester. the floral print consists of a mix of bright colors, including pink, yellow, and green, with some darker shades of purple and blue. the top has a scoop neckline and a loose fit, making it a comfortable and stylish option for warm weather.",9,18,5
433,red t-shirt with a black stripe on the sleeve and a black stripe on the bottom. the t-shirt has a short sleeve and a round neckline.,2,7,3
434,"black leather jacket with a collar, a front zipper, and a front pocket. the jacket has a silver zipper and a silver button. the jacket is worn by a woman with blonde hair.",101,101,101
435,black and white striped top with a lace back. the top has a v-neck and short sleeves. the lace on the back is sheer and has a black and white color scheme.,1,2,2
436,white lace top with a ruffled collar and a front embellishment. the top is made of a sheer white fabric with a lace overlay and has a ruffled collar and a front embellishment. the lace is delicate and the top has a feminine and romantic style.,101,101,101
437,"pair of pants. the pants are striped with a combination of gray, white, and black colors. they have a slim fit and feature a zipper and a button. the pants are made of a material that appears to be a blend of polyester and cotton.",101,101,101
438,"blue velvet dress with a lace collar and cuffs. the dress has a high neckline and a low back, and it is adorned with gold buttons. the fabric is shiny and has a velvety texture. the dress is designed with a fitted bodice and a full skirt, and it is worn with a white shirt underneath.",9,15,11
439,dress. the dress is black and red in color. the dress has a floral print on it. the dress is a maxi dress and has a halter neckline. the dress is made of a flowy material and has a long skirt. the dress is a wrap dress and has a tie at the back. the dress is a summer dress and is suitable for a beach or a party.,10,6,4
440,black leather jacket with gold zippers. the jacket has a striped pattern and a zipper on the front. the zipper is gold and the jacket has a black collar. the jacket is worn by a woman who is posing for the camera.,23,16,12
441,black and white floral blouse with a collar. the blouse has a button-down front and a floral pattern with a black background. the blouse is worn by a woman with long hair.,101,90,80
442,"white lace midi skirt. the skirt is made of a sheer white lace material and has a high waistline. it is a midi length, which means it falls just above the knee. the skirt is a popular fashion choice for both casual and formal occasions.",70,87,70
443,black faux fur vest with a collar. the vest is made of a shiny material and has a zipper on the front. it is worn over a white shirt and a black sweater.,101,101,101
444,pair of white pants. the pants are made of denim material and have a straight cut. they are cuffed at the bottom and have a zipper closure. the pants are worn by a woman who is standing and smiling.,101,101,101
445,red dress with a lace design. the dress has a plunging neckline and a fitted bodice. the lace design is scalloped and covers the entire dress. the dress is a strapless style and has a zipper closure at the back.,62,100,56
446,pair of black pants. the pants are loose and have a baggy fit. they are made of a stretchy material and have a gray color. the pants are worn by a person who is standing and has their hands in their pockets.,26,72,9
447,denim dress. the dress is light blue in color and has a front pocket. the dress is a sleeveless style and has a v-neckline. the dress is made of denim material and has a loose fit.,3,5,3
448,black and silver dress with a floral pattern. the dress has a silver metallic overlay with a black lace overlay. the dress has a fitted bodice with a flared skirt and a silver metallic belt at the waist. the dress is a knee-length and has a silver metallic zipper on the back.,1,1,1
449,"striped dress with a navy and white color scheme. the dress has a v-neckline and a fitted bodice with a flared skirt. the stripes are vertical and the dress is made of a lightweight material, possibly cotton or linen.",101,101,101
450,blue jean skirt with pockets. the skirt is made of denim material and has a front zipper closure. the skirt is a midi length and has a five pocket design. the skirt is styled with a casual and comfortable fit.,101,101,101
451,black sleeveless top with a ruffled trim on the neckline. the top is made of a stretchy material and has a fitted silhouette.,94,101,101
452,"black sequined dress with a silver metallic belt around the waist. the dress has a v-neckline and a sleeveless design. the sequins are small and shiny, adding a glamorous touch to the dress. the silver metallic belt is thin and shiny, complementing the dress and adding a touch of sparkle to the overall look.",3,6,3
453,"black dress with gold sequins. the dress has a boxy shape and features a v-neckline. the sequins are arranged in a decorative pattern on the front of the dress, and there are also some on the sleeves. the dress is long-sleeved and has a loose fit.",5,4,4
454,white and black sports bra. the bra has a black trim and a black strap. the white part of the bra is made of a mesh material.,1,1,1
455,black pencil skirt. the skirt is made of a shiny material and has a zipper on the front. it is worn by a woman who is standing and has her hands on her hips.,101,101,101
456,pair of pants. the pants are black and white in color and have a checkered pattern. they are made of a material that appears to be a blend of cotton and polyester. the pants have a loose fit and feature a zipper closure on the front. the pants are worn by a woman who is standing and appears to be wearing a white shirt.,101,101,101
457,blue and white faux fur vest. the vest is made of a material that resembles fur and has a blue and white color scheme. it is a fashionable piece of clothing that can be worn during colder weather.,3,2,3
458,"pair of colorful shorts with a floral print. the shorts have a high waist and a wide leg, and they are made of a stretchy material. the colors used in the print are green, white, and orange. the shorts are styled in a fashionable and trendy manner, making them a perfect addition to any summer wardrobe.",6,101,45
459,white short-sleeved shirt with a small embroidered bird on the front.,4,6,4
460,black leather skirt. the skirt has a zipper on the side and is made of leather. the leather is shiny and smooth. the skirt is short and has a flare at the bottom.,101,101,101
461,black dress with a lace overlay. the dress has a v-neckline and a back zipper closure. the lace overlay is black and has a floral pattern. the dress is made of a stretchy material and is a size 10.,68,101,93
462,pair of black leggings with a white design on them. the leggings are made of a stretchy material and have a high waistband. they are designed for workouts and fitness activities.,101,101,101
463,black hooded sweatshirt. the sweatshirt has a drawstring hood and long sleeves. the sweatshirt is made of a soft material and has a loose fit. the hood is pulled up over the head and the sweatshirt is worn over a white shirt.,27,41,23
464,turquoise colored short sleeve shirt with a lacey design and a front button.,1,1,1
465,pair of teal colored leggings. the leggings are made of a stretchy material and have a high waistband. they are a light blue color and have a fashionable look.,9,12,9
466,black and white tank top with a floral print. the top is sleeveless and has a scoop neckline. the back of the top features a black and white print with a yellow and black floral design. the top is made of a stretchy material and has a flowy fit.,52,101,101
467,"black v-neck top with a knit design. the top is made of a soft, stretchy material and has a v-neckline. the knit design is a combination of black and white, with a small white logo on the front. the top is worn by a woman who is posing for the camera.",101,101,101
468,"white blouse with a v-neckline and long sleeves. the blouse has a high collar and is made of a soft, flowing material. the blouse is styled in a modern fashion, with a sleek and minimalist design.",16,18,10
469,brown and white striped shirt with a collar. the shirt has a brown and white pattern with a brown and white collar. the shirt is made of a material that looks like a checkered pattern.,1,2,1
470,woman wearing a beige and white top with a collar and a bow on the neckline. the top is made of a stretchy material and has a white shirt underneath. the woman is also wearing a pair of black pants.,24,101,33
471,"beige ruffled mini skirt. the skirt is made of a lightweight material and has a high waistline. it features a small slit on the front and a ruffle at the bottom. the skirt is a knee-length and has a flirty, feminine style.",2,7,4
472,a person is wearing a pair of beige pants.,101,101,101
473,black dress with white polka dots. the dress has a wrap style and features a short sleeve design. the dress also has a bow detail on the front and a skater skirt style.,101,38,71
474,pink skirt. the skirt is made of a stretchy material and has a high waist. it is a midi length and has a straight cut.,77,58,64
475,purple lace skirt. the skirt is made of a stretchy material and has a lace design. it is a midi length skirt that falls just above the knee. the skirt is paired with a matching purple lace crop top.,2,3,3
476,woman wearing a brown dress. the dress has a satin material and a v-neckline. the dress also has a belt at the waist and a long flowy skirt. the woman is also wearing a black choker necklace.,3,36,7
477,"light blue dress with a ruffled off-the-shoulder neckline and a tiered skirt. the dress is made of a lightweight material, possibly cotton or linen, and has a relaxed fit. the dress is styled in a bohemian fashion, with a loose and flowy silhouette.",16,15,10
478,black wool jacket with a cropped design and a rounded collar. the jacket has a front button closure and a front pocket. the sleeves are long and have a cuff detail. the jacket is worn with a black shirt underneath.,15,101,25
479,white off-the-shoulder top with a cowl neckline. the top is made of a stretchy material and has long sleeves. the top is designed to be worn over the head and has a loose fit.,1,1,1
480,black and white floral print skirt. the skirt is made of a stretchy material and has a flowy design. the floral print consists of black and white flowers with green leaves. the skirt is knee-length and has a zipper closure on the side.,101,34,87
481,white dress with a belt around the waist. the dress has a v-neckline and is made of a shiny material. the belt is made of a metallic material and has a gold buckle. the dress is short and has a flowy design.,55,101,84
482,"bright yellow blazer. the blazer is made of a shiny material and has a fitted silhouette. it features a single button closure, two front pockets, and a single button on the cuff. the blazer is styled in a classic, professional manner.",1,1,1
483,"green t-shirt with a floral pattern on it. the shirt has a round neckline and short sleeves. the floral pattern consists of various sized flowers with green leaves. the shirt is made of a soft fabric, possibly cotton, and has a loose fit.",16,17,15
484,black dress with a cut out detail on the side. the dress is sleeveless and has a belted waist. the dress is a midi length and is made of a stretchy material.,23,1,6
485,black lace pencil skirt. the skirt is made of a stretchy material and has a lace pattern. the skirt is worn by a woman who is standing and smiling.,21,101,82
486,black and white coat with a fur-lined hood. the coat has a zipper closure and a button on the front. the fur-lined hood is black and the rest of the coat is black and white. the coat is made of a material that appears to be a blend of cotton and polyester.,101,101,101
